Species,Latitude,Longitude,Bat_Presence,Max_Temp_C,Precipitation_mm,Population_Density,Tree_Cover_Pct,Risk_Percentage
Pteropus alecto,-21.1538208514,148.4953860289,1,25.583333333333336,135.41666666666666,0.006812418345361948,54,13.34
Pteropus medius,5.8165833333,73.3780916667,1,30.975,190.25,8.278079986572266,0,78.31
Pteropus poliocephalus,-29.4664474544,153.2037958436,1,25.0,70.0,0.8055788278579712,19,31.51
Pteropus alecto,-20.0711866667,146.2608016667,1,30.183333333333334,77.33333333333333,6.618816375732422,1,67.87
Pteropus medius,12.8143300833,74.9272994722,1,31.275000000000002,243.58333333333334,7.27114200592041,4,79.35
Pteropus alecto,-12.6710425085,132.8401478381,1,34.6,105.58333333333333,6.423689842224121,9,76.58
Pteropus alecto,-27.5321313537,153.031091727,1,26.53333333333333,61.5,16.41623878479004,1,53.78
Pteropus rufus,-16.4962896014,45.3680962792,1,32.76666666666667,107.08333333333333,0.08623901009559631,17,64.38
Pteropus rufus,-16.5576177236,45.3864617665,1,32.69166666666667,110.66666666666667,0.07956442981958389,10,70.53
Pteropus alecto,-16.8204981503,124.9200747907,1,32.44166666666667,122.33333333333333,0.0009223176166415215,2,76.75
Pteropus conspicillatus,-16.5183187859,145.4617534146,1,29.725,208.66666666666666,1.8578107357025146,14,64.45
Pteropus poliocephalus,-37.682080891,145.149731094,1,20.450000000000003,65.16666666666667,12.28321647644043,2,31.21
Pteropus poliocephalus,-37.6821201362,145.1498492496,1,20.450000000000003,65.16666666666667,5.791141510009766,2,31.15
Pteropus vampyrus,5.5149931809,117.9642591202,1,31.76666666666667,257.0,0.46747469902038574,80,17.11
Pteropus seychellensis seychellensis,-4.3356977018,55.7573187293,1,30.0,309.4166666666667,1.8019626140594482,0,82.23
Pteropus seychellensis seychellensis,-4.5811468,55.4339992,1,29.81666666666667,314.25,4.891963958740234,0,82.08
Pteropus alecto,-15.7877104849,128.7181197294,1,34.79166666666667,64.41666666666667,0.09726671874523163,6,76.74
Pteropus alecto,-26.759555,152.8518966667,1,24.425,89.58333333333333,6.916898727416992,9,40.25
Pteropus poliocephalus,-34.0437954236,151.0845191343,1,22.858333333333334,86.75,21.48059844970703,6,37.44
Pteropus medius,10.1060965448,76.3508850709,1,32.233333333333334,254.58333333333334,44.284576416015625,9,79.27
Pteropus medius,10.1532261,76.3376786,1,32.25,253.08333333333334,14.95359992980957,22,69.15
Pteropus medius,18.5320000787,73.7853819877,1,31.425,97.75,29.64191436767578,1,73.33
Pteropus scapulatus,-25.0694783333,148.27176,1,27.708333333333332,48.083333333333336,2.4232769646914676e-05,4,53.91
Pteropus poliocephalus,-33.8082336752,150.997701668,1,23.933333333333337,67.83333333333333,27.79973793029785,3,42.73
Pteropus tonganus,-18.675955,-173.985905,1,28.75,216.75,0.32181766629219055,0,73.79
Pteropus poliocephalus,-30.4483357956,152.8967657313,1,25.5,95.66666666666667,3.866093397140503,16,37.88
Pteropus poliocephalus,-37.7930829585,145.0152699978,1,20.891666666666666,57.833333333333336,4.2584333419799805,12,24.02
Pteropus alecto,-19.3092259997,146.7656872997,1,29.608333333333334,122.66666666666667,14.291803359985352,5,65.83
Pteropus medius,22.5240384,88.2930415,1,32.575,114.75,197.37588500976562,2,78.03
Pteropus medius,7.0833111667,79.8513866667,1,31.71666666666667,233.16666666666666,7.12783670425415,44,44.46
Pteropus medius,12.0172278997,79.8049395997,1,33.075,102.41666666666667,5.8833208084106445,2,77.29
Pteropus conspicillatus,-17.3750263946,145.3149107292,1,26.675,160.25,0.20940540730953217,1,62.14
Pteropus poliocephalus,-37.79148,145.018325,1,20.891666666666666,57.833333333333336,15.437056541442871,12,24.1
Pteropus alecto,-25.2754903,152.7693852,1,26.900000000000002,69.91666666666667,0.31219151616096497,14,42.76
Pteropus poliocephalus,-32.9367096011,151.6921165719,1,23.641666666666666,64.16666666666667,2.450448513031006,42,12.8
Pteropus medius,15.0267769796,78.0214449763,1,35.875,37.833333333333336,13.298124313354492,0,81.95
Pteropus scapulatus,-24.32745,151.5611716667,1,27.54166666666667,89.41666666666667,1.7967945337295532,4,56.71
Pteropus conspicillatus,-16.9145866667,145.7617633333,1,29.75,343.3333333333333,15.505412101745605,3,81.66
Pteropus vampyrus,-6.5798553899,106.689993659,1,30.775000000000002,218.41666666666666,23.393321990966797,26,57.78
Pteropus alecto,-23.3992783333,150.488905,1,28.775000000000002,95.33333333333333,6.962419509887695,4,61.7
Pteropus conspicillatus,-16.8994116667,145.7468716667,1,29.75,343.3333333333333,7.853870391845703,7,79.09
Pteropus poliocephalus,-28.0807166667,153.4397716667,1,26.058333333333334,79.75,21.12437629699707,2,52.57
Pteropus medius,19.0583284,72.9019411,1,32.04166666666667,207.5,366.7818298339844,0,83.82
Pteropus conspicillatus,-17.3747094047,145.3150734791,1,26.675,160.25,0.20940540730953217,1,62.14
Pteropus alecto,-22.3254,113.8163,1,31.075000000000003,5.083333333333333,1.0342422683606856e-05,0,66.33
Pteropus lylei,13.9981075829,100.8054620468,1,33.44166666666667,81.75,3.2962489128112793,2,77.03
Pteropus conspicillatus,-17.3747904272,145.3148782682,1,26.675,160.25,0.20940540730953217,1,62.14
Pteropus conspicillatus,-17.3746751922,145.3151352263,1,26.675,160.25,0.20940540730953217,1,62.14
Pteropus medius,12.9892688319,80.2389515567,1,34.26666666666667,138.08333333333334,169.22755432128906,1,83.59
Pteropus medius,6.1224266453,80.1670908344,1,30.183333333333334,337.0,8.056293487548828,28,63.04
Pteropus alecto,-15.5583628695,144.445858158,1,31.700000000000003,143.83333333333334,0.10091700404882431,8,71.39
Pteropus medius,26.488291113,74.5559977497,1,31.683333333333334,38.083333333333336,32.26764678955078,0,70.94
Pteropus medius,6.2895818,81.2821647,1,31.225,143.25,2.1350433826446533,11,67.31
Pteropus poliocephalus,-37.7925344806,145.0154013187,1,20.891666666666666,57.833333333333336,4.2584333419799805,12,24.02
Pteropus alecto,-22.3279100917,113.8194272793,1,31.075000000000003,5.083333333333333,9.735462299431674e-06,0,66.33
Pteropus alecto,-27.4915758551,152.9912013763,1,26.61666666666667,60.0,33.660491943359375,2,53.14
Pteropus alecto,-28.1288985948,153.4788714115,1,25.958333333333332,84.66666666666667,10.160292625427246,1,53.5
Pteropus poliocephalus,-34.9155716667,138.6063083333,1,21.84166666666667,41.833333333333336,6.740520000457764,17,22.07
Pteropus poliocephalus,-33.6338601251,151.1118234921,1,23.033333333333335,78.75,0.3858594298362732,81,2.87
Pteropus alecto,-14.405088254,132.3321061116,1,35.45,77.91666666666667,0.02730853669345379,3,81.11
Pteropus alecto,-14.5376487672,132.2699984651,1,35.19166666666667,77.58333333333333,0.0009409182821400464,7,77.86
Pteropus medius,26.5098075211,80.2330653621,1,32.30833333333333,67.66666666666667,93.12109375,1,74.44
